OTU,A II,AA,BAC,BHI (strict anaerobes),BIL,BMM - Inulin,BMM - Mannitol,BMM - Mucin,LB,M-17 Broth,mGAM,MiPro,MRS,NCMM - Mannitol,NCMM - Mucin,Postgate,PYG,R2A - chondroitin sulfate,R2A - Fructose,R2A - glucose,R2A - Mannitol,R2A - Mucin,Reinforced Clostridial Broth,TSB,WCA,WHC,WSB,YCFA,Yeast Casitone
Otu1,0.134928493896749,0.357717290442314,0.0114512407855495,0.76276602281805,0.468212122532572,0.0716125708397733,0.0661488062028811,0.463921029283302,0.35100258090133,0.687487655540194,0.716049382716049,0.166820787867579,0.00748052835175932,0.704567883829127,0.492036881810562,0.475098978953949,0.258106757641545,0.46447657453854,0.524926964373791,0.551107822904093,0.617608907145173,0.763448884064853,0.483642951017654,0.378833958845606,0.609521176091064,0.0187929553264605,0.127337945170382,0.894692353749164,0.706386455810987
Otu10,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00136117715979186,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu100,1e+05,1e+05,0.0147009172246919,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.0102240074842408,1e+05,1e+05,1e+05,0.00220545160067542,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00172015875070101,1e+05,1e+05,0.00409941070971048,1e+05,1e+05
Otu1099,0.00237084150591282,0.00667594597381173,1e+05,0.00452674054197989,1e+05,1e+05,0.00104430425017524,1e+05,0.00289855072463768,0.00187635789057871,0.0051062091503268,0.00554836323284631,1e+05,0.00179754687720288,0.00352053646269908,0.0032645690074321,1e+05,1e+05,1e+05,1e+05,0.00983677440276727,0.00139067905840852,0.00436898376727169,0.00218929295543764,0.00271901930964561,1e+05,0.00253883958726388,0.00143814790030407,0.0013751457355535
Otu11,0.027612210309828,0.00389215383029178,0.112824264250746,0.00323631224268245,0.00252734323935683,1e+05,0.00185971989757235,0.00123163663982155,0.00678975580702799,1e+05,0.00299564270152505,0.0188274459034585,0.112063140856678,0.00560411673480897,0.0196144174350377,0.00166701396124193,0.107998208070574,0.00629487557784991,0.00870736426755701,0.00626922627623535,0.00697221921954383,1e+05,0.00333889816360601,0.00546784004141323,0.00640582515323287,1e+05,0.0484475811147602,0.00157315770318975,0.0105328191484061
Otu1196,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.0010418837257762,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu12,0.00117113857520995,0.00592844623157027,1e+05,0.00258085659859487,1e+05,0.00379373331459885,1e+05,1e+05,0.00142942227516379,1e+05,0.00260984023238925,0.00340299611614574,1e+05,1e+05,0.00201173512154233,0.00291727443217337,1e+05,0.00445887020097702,1e+05,0.00159651103928975,0.00767484596259864,1e+05,0.00181152985472241,1e+05,0.00221208350615236,1e+05,0.00128106584678452,0.00109768839737494,0.00106623618626249
Otu122,1e+05,1e+05,1e+05,1e+05,1e+05,0.00112406913025151,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00184409052808047,0.00125026047093144,1e+05,0.00173764794596898,1e+05,0.00109030022195397,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu1266,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00134115674769489,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu1279,1e+05,1e+05,1e+05,1e+05,1e+05,0.00285700903938926,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00278679387561064,1e+05,0.00101242163467155,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu13,1e+05,1e+05,1e+05,1e+05,1e+05,0.00496463865861084,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00127864660175076,1e+05,0.00327090066586192,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu1300,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00612549468010068,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu1397,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.0011808015558797,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu14,1e+05,1e+05,1e+05,1e+05,1e+05,0.00440260409348508,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00137700403265467,1e+05,0.00253105408667887,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu1407,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00268231349538977,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu15,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00108631246296662,1e+05,1e+05,1e+05,1e+05,1e+05,0.00375078141279433,1e+05,1e+05,1e+05,1e+05,1e+05,0.0016959500712299,0.00149184811565375,1e+05,1e+05,0.00161082474226804,0.00209628956746559,1e+05,1e+05
Otu154,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00135902607899518,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu16,1e+05,1e+05,1e+05,1e+05,1e+05,0.48142944124397,0.014205398909918,0.251427215976608,1e+05,1e+05,1e+05,0.0539300906232661,1e+05,1e+05,0.00167644593461861,1e+05,1e+05,0.0039998688567588,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu17,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00188644349916775,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu18,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00108631246296662,1e+05,1e+05,1e+05,1e+05,1e+05,0.0010418837257762,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.0015273683088836,1e+05,1e+05,1e+05,0.00137423427200522,1e+05,1e+05
Otu187,1e+05,1e+05,1e+05,1e+05,0.00152512092030154,0.00135825019905391,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00100586756077117,1e+05,1e+05,0.00160650470476378,0.00149865310923094,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00354381443298969,1e+05,1e+05,1e+05
Otu19,1e+05,1e+05,1e+05,0.00198684992114049,1e+05,0.00117090534401199,1e+05,1e+05,1e+05,1e+05,1e+05,0.00273719252820418,1e+05,1e+05,1e+05,0.00361186358269084,1e+05,1e+05,1e+05,1e+05,1e+05,0.00118716504986093,1e+05,1e+05,1e+05,1e+05,0.00128106584678452,1e+05,1e+05
Otu2,0.0702968788680898,0.0868904010722755,0.0591694333464633,0.0606706130558571,0.499193864656412,0.315348227249309,0.0536028496631046,0.159259740763295,0.112011117728807,0.11016195931266,0.0856708424110385,0.13863510264472,0.0223561993718584,0.228323699421965,0.290360435875943,0.386191567687713,0.080757434784107,0.398445952591718,0.360132033235952,0.327868852459016,0.242190033509891,0.202225086493454,0.077327460661386,0.0680891678529831,0.141988110051154,0.883805841924399,0.061467868539352,0.0403972810199697,0.166945681743446
Otu20,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.0039733676975945,1e+05,1e+05,1e+05
Otu202,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00457385429434098
Otu21,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00222150756886331,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu22,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00187539070639717,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00323233758391646,1e+05,1e+05,0.00118127147766323,1e+05,1e+05,1e+05
Otu24,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00242207663291642,1e+05,1e+05,1e+05,1e+05,0.00190328492880305,1e+05,1e+05,1e+05,1e+05,1e+05,0.00482847241151046,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu248,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00194555312361415,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00209628956746559,1e+05,1e+05
Otu26,1e+05,1e+05,1e+05,1e+05,1e+05,0.00201395719170062,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00144075386472489,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu27,0.01191133624055,0.00458810186617177,0.0912160261099544,0.0122488273488867,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00140558535232107,0.0610507636450035,1e+05,0.00335289186923722,1e+05,0.0128708777008167,1e+05,1e+05,1e+05,0.00118906064209275,1e+05,0.00213121159379107,0.0101268280056943,1e+05,1e+05,0.0236647800060559,1e+05,1e+05
Otu3,0.512796831260831,0.29214351995051,0.565598446907884,0.0885479609184572,0.0145104361845832,0.00721277691911386,0.0193553924724261,0.00554920730497376,0.0423267818145722,0.126901046810192,0.111882716049383,0.0918439060477159,0.562468908473972,0.0320386296348513,0.120368818105616,0.0154893380565396,0.526344808573693,0.0367856791580604,0.0519406609249915,0.0390171722284958,0.0307534320613988,0.00281527711824164,0.276773345647,0.374034769854622,0.153739803677589,0.00440292096219931,0.252067174434584,0.0330421817584146,0.0811136687493149
Otu31,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00308999613750483,1e+05,0.00492356561445305,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00887429250227098,1e+05,0.00132033920261477
Otu33,0.0350865499971436,0.0386380039179297,0.0659079399020877,1e+05,1e+05,0.00370006088707789,0.00487818834670901,0.0367415456127506,0.0835814969227715,1e+05,1e+05,0.158535232106529,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00198165814092815,0.0126718213058419,0.05380476556495,1e+05,1e+05
Otu38,1e+05,1e+05,1e+05,1e+05,1e+05,0.00145192262657487,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.0421805276092751,1e+05,1e+05,1e+05,1e+05,0.00101636011934035,0.00206776188488827,1e+05,0.00145930169711383,1e+05,1e+05,1e+05,1e+05,0.00128865979381443,0.0045186686232036,1e+05,1e+05
Otu4,1e+05,0.00342818847303846,0.0011535647965787,1e+05,0.00196086975467341,0.0144255538382277,0.777320000572222,0.00198202266667579,0.0727814175104229,0.00192573572980446,1e+05,0.00173848714629184,1e+05,0.0035598477372057,0.0226320201173512,0.00896020004167535,1e+05,0.0175076227008951,0.00620328565466479,0.01059148787041,0.00929629229272511,0.00563055423648328,0.0030547366177672,1e+05,0.00290335960182497,0.00526202749140894,0.0408310623529686,1e+05,1e+05
Otu41,1e+05,0.00113413753995257,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00118906064209275,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu42,1e+05,1e+05,0.0103680153058353,1e+05,1e+05,1e+05,0.0221163612434373,1e+05,1e+05,1e+05,1e+05,0.00177547623451082,1e+05,1e+05,1e+05,0.0386191567687713,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.231826334055389,1e+05,1e+05
Otu43,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00193298969072165,1e+05,1e+05,1e+05
Otu44,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00150343642611684,1e+05,1e+05,1e+05
Otu45,0.0246605602422257,0.0263429219507166,0.0461003882730291,1e+05,1e+05,0.0025291555430659,0.0040627726993119,0.0272146081228717,0.0619813380980743,1e+05,1e+05,0.117107453301276,1e+05,1e+05,0.00100586756077117,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00179731784874879,0.00880584192439863,0.0394568280809634,1e+05,1e+05
Otu49,1e+05,0.0018558614290133,0.0116059872826515,1e+05,1e+05,1e+05,0.00163083129479421,1e+05,0.157077625570776,1e+05,1e+05,0.195820233031256,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00120711810287761,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.0514988470407379,1e+05,1e+05
Otu5,0.00754098985013235,0.0368594700484586,0.00301052276180294,0.018537104934352,0.00248376835591965,0.0181724509390661,0.00270374662031672,0.00153954579977694,0.0109191979352789,0.00439462769109224,0.019880174291939,0.0207878675790642,0.00286227660506523,0.00645002114761032,0.0194467728415759,0.0234771132874904,0.00117164616285882,0.023048424641815,0.00254201919793603,0.00564619757797594,0.0472921846286888,0.00671596228207042,0.0117571839590807,0.00507419869720892,0.0142402875708558,0.00816151202749141,0.0098991451796986,0.00910435670763921,0.00767291461142168
Otu563,1e+05,0.00123724095267553,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00158516833798546,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu6,0.00170433987774456,1e+05,1e+05,1e+05,1e+05,0.00468362137604796,0.00609415904896786,1e+05,0.0740520150883462,1e+05,0.00167937545388526,0.00273719252820418,1e+05,0.00232623713520372,0.00100586756077117,0.00923803570188234,1e+05,0.00521294383790695,1e+05,0.00560725828433472,0.00108096422008432,0.00454514619089614,0.00181152985472241,1e+05,1e+05,0.00665807560137457,0.0112267952390935,1e+05,1e+05
Otu60,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00193298969072165,1e+05,1e+05,1e+05
Otu7,0.0049130691447832,0.00154655119084442,1e+05,0.00108559841052006,0.00108937208592967,0.00346587981827549,0.00120166516458521,1e+05,0.00146912844947389,1e+05,0.00163398692810458,0.00314407249861291,0.167463599711916,0.00232623713520372,0.00536462699077955,0.00298673334722512,1e+05,0.002065506048982,0.0312440717835869,0.0165491997975157,0.00518862825640471,1e+05,0.0120413455049195,0.00211380009490531,0.00211991336006268,0.00257731958762887,0.00840845037616752,0.00376266450650982,1e+05
Otu71,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00107388316151203,1e+05,1e+05,1e+05
Otu79,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00109030022195397,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu8,1e+05,1e+05,1e+05,1e+05,1e+05,0.00149875884033535,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00139604810996564,1e+05,1e+05,1e+05
Otu81,1e+05,1e+05,1e+05,1e+05,1e+05,0.00135825019905391,1e+05,0.0454428303922307,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu883,1e+05,0.001984740694917,1e+05,0.0014952581880748,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00134976734273434,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu9,1e+05,1e+05,1e+05,1e+05,1e+05,0.00473045758980844,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,0.00668830530146553,1e+05,0.00373817218955648,0.00221597665117285,1e+05,0.00142080772919405,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
Otu919,0.154237998209967,0.118208062686875,0.00258848686061561,0.0309497961942607,1e+05,0.00117090534401199,0.00500693818577171,1e+05,0.00194560254119516,0.0550562907367174,0.044480755265069,1e+05,0.00102834062205327,1e+05,1e+05,0.00229214419670765,1e+05,0.00108193173994295,0.0019539401297568,1e+05,0.00124310885309696,1e+05,0.101658793023834,0.139591691471464,0.0508779206415042,1e+05,1e+05,0.00936263633055096,0.0128944824768567
