OTU,ave_relabd
Otu1,0.002887952922077406
Otu10,6.237831449190792e-5
Otu100,6.944050329550478e-4
Otu101,0.0014798749774801835
Otu102,0
Otu103,0.0039895101113329775
Otu104,0.004999217284242622
Otu105,5.201168754410282e-4
Otu106,0.0013245229727461296
Otu107,0
Otu108,7.523184736372818e-4
Otu109,3.6230791415809723e-4
Otu1099,1.7665092543989777e-4
Otu11,0.009457667038606612
Otu110,0.00716050781010901
Otu111,0.001857831322458278
Otu112,0.0034031182531039875
Otu113,0.00388393558003557
Otu114,0
Otu115,3.183836236464257e-4
Otu116,0.0012788176238280134
Otu117,0.009301963802628915
Otu118,7.871737042301413e-5
Otu119,2.4352407233351435e-4
Otu1196,5.158228794213118e-5
Otu12,4.025570721570464e-4
Otu120,0.0019614969280208148
Otu121,7.077205276559985e-4
Otu122,0.00600978012540195
Otu123,2.9285825516677167e-4
Otu124,6.471932653589505e-4
Otu126,0.0024058535819126642
Otu1266,1.0067626400025185e-4
Otu127,6.9398262408656375e-6
Otu1279,0
Otu128,0.005017592949446705
Otu129,5.74479327045159e-4
Otu13,4.4808359120717256e-5
Otu130,0.0032683972969792872
Otu1300,1.971121705481929e-4
Otu131,0.002319234024043973
Otu132,0
Otu133,6.638814069324117e-6
Otu134,9.01311672822987e-4
Otu135,0.006381152239393374
Otu136,0.004526178259784942
Otu137,2.1662749052844653e-4
Otu138,0.0036896862771099073
Otu1397,8.61880040569567e-4
Otu14,3.160117606462685e-6
Otu140,4.3553071780724376e-4
Otu1407,4.382051503021263e-5
Otu141,0.0025126822214991676
Otu142,3.478696462861425e-6
Otu143,5.886322226262713e-4
Otu144,0.0015832494798806744
Otu145,0.0017636606189086884
Otu146,1.2025060946324441e-4
Otu147,0.003847053950713245
Otu148,0.008451780078078293
Otu149,0.00251062261743922
Otu15,5.94050768099935e-5
Otu150,0.0040293666088687076
Otu151,0
Otu152,3.9527263453339903e-4
Otu153,0.0014014652579544043
Otu154,0.003931679299510342
Otu155,9.889596859564304e-5
Otu156,7.059041623819007e-4
Otu157,0.00361608123133772
Otu158,0.0030604998070972484
Otu159,6.884332686402483e-4
Otu16,9.12356934350026e-4
Otu160,2.511676921783276e-4
Otu161,0.003409295916313185
Otu162,3.005973384051064e-4
Otu163,0.0016371380915227588
Otu164,2.818936902161087e-4
Otu165,0.002419488533978525
Otu166,0.004559846022170338
Otu167,5.3706588246383194e-5
Otu168,7.315927914696663e-4
Otu169,3.286289316317545e-5
Otu17,8.338397615028876e-5
Otu170,3.6024983902747915e-4
Otu171,3.673368384354944e-4
Otu172,1.4207693750319674e-6
Otu173,2.2591142933508322e-4
Otu175,0.006675792889962406
Otu176,0.003676056681022603
Otu177,5.070933367206153e-4
Otu178,3.570891385343998e-4
Otu18,5.038970939685111e-4
Otu180,0.0027132849834613426
Otu181,0.0010964524890946703
Otu182,7.249718571604625e-5
Otu183,0.0031370876091949677
Otu184,9.323989267110027e-4
Otu185,0.0010142939067827917
Otu187,2.3474373306085313e-4
Otu189,0.007094186954220716
Otu19,4.063501228100562e-4
Otu190,5.94180572391331e-4
Otu191,0
Otu192,0.0017693712270456612
Otu193,0.0010757885469807147
Otu194,0.0013866158501702488
Otu196,3.57956472313886e-4
Otu197,0.004537690669037267
Otu198,2.721188845109992e-4
Otu2,0.061946197388064575
Otu20,0.0316285465068809
Otu200,3.1884399724971274e-4
Otu202,0.004941693370983494
Otu203,0.00467119305495915
Otu204,5.501833048129515e-4
Otu207,0.004959735424237853
Otu209,0.0018622987462974536
Otu21,0.02648418659280172
Otu210,4.933974768674407e-5
Otu211,2.841538750063925e-6
Otu213,8.175360704593983e-4
Otu214,7.03034827253694e-5
Otu216,4.1689135016284877e-4
Otu217,0.0012520800580564445
Otu22,2.24427796246568e-4
Otu23,0.001023873173584784
Otu234,0.0023815076482003946
Otu235,3.3742885314226476e-4
Otu236,2.3699007815484012e-4
Otu237,1.7064411727756983e-4
Otu24,0
Otu240,7.234983368005292e-4
Otu243,1.166462668345103e-5
Otu245,0.0011051056279487836
Otu248,1.2959049282249501e-5
Otu249,0
Otu25,0
Otu251,2.3422271838113176e-4
Otu253,7.618116371761933e-4
Otu257,0
Otu26,0
Otu260,0.0019317434739542895
Otu267,0
Otu27,0.004026665677578906
Otu270,1.2583871743410698e-5
Otu28,0.002856429255941353
Otu283,1.501697637007895e-5
Otu288,0
Otu29,0.012075827882801917
Otu294,7.768496383618095e-5
Otu3,0.04620670163544183
Otu30,6.016920350557822e-4
Otu305,0
Otu31,0.029787269808760376
Otu32,0.022559046929995934
Otu325,0
Otu33,4.862878847613102e-4
Otu34,0.013957738995808265
Otu340,0.001122102150705538
Otu35,8.6967411571536e-6
Otu36,0.0211852060156381
Otu367,0
Otu37,0.014208361675672035
Otu378,1.873407149390755e-4
Otu379,0
Otu38,0.0067947857176670155
Otu39,1.4207693750319674e-6
Otu397,0
Otu4,1.6335168948340188e-4
Otu40,3.5371386448833575e-6
Otu41,4.5151429138247624e-5
Otu410,5.121928654209527e-6
Otu42,2.500652277060777e-4
Otu43,0.016386197892623196
Otu44,0.012245255152880448
Otu45,3.2399507392571434e-4
Otu46,0.009216079666165299
Otu47,0.004046183267999818
Otu48,0.0023729073277422574
Otu49,6.573357699387954e-4
Otu492,0
Otu5,0.001724943846861397
Otu50,6.953779188181893e-5
Otu51,0.029225396341290698
Otu52,2.4677637554988105e-4
Otu53,0.014380732907444791
Otu54,7.887391472364263e-4
Otu55,0.011926556948987354
Otu56,6.806396831838855e-5
Otu563,8.291824635568868e-5
Otu57,3.56548677735244e-5
Otu58,0.008581581929539893
Otu59,6.101226701415833e-5
Otu6,2.5502147567440153e-4
Otu60,0.005260010102340068
Otu61,0.0023454810353834427
Otu62,0.00363818338285082
Otu63,0.004452941709437162
Otu64,0.010676815598640935
Otu65,1.357490909283876e-4
Otu66,0.02257312522029602
Otu67,9.519734644432941e-4
Otu68,0.001056549497364492
Otu69,0.00981622639039487
Otu7,0.012681461011067666
Otu70,0.006260460732992922
Otu71,0.013335858831762852
Otu72,4.3821683619826873e-4
Otu73,2.9419587956994544e-4
Otu74,0.003593756367017785
Otu75,0.004908518035993665
Otu76,0.007170543972930262
Otu77,0.005952414279601082
Otu78,0.006822106487518173
Otu79,9.762440166550224e-6
Otu8,0.011743065600514094
Otu80,5.5190568658336625e-6
Otu81,4.92427921527751e-5
Otu82,1.2561441367064005e-4
Otu83,6.88997288387003e-4
Otu84,1.3050086898070567e-5
Otu85,0
Otu86,0.00488574021422935
Otu87,0.00856205013685585
Otu88,0
Otu883,1.0583906815162605e-4
Otu89,0.001173845523418518
Otu9,0
Otu90,0
Otu91,0.002635818633071427
Otu919,4.057558474300795e-5
Otu92,2.4625771642725e-4
Otu93,5.36402724682027e-4
Otu94,0.012898161459640786
Otu95,0.006629685847625137
Otu96,0
Otu97,0.0022568203631191516
Otu98,1.4847529626150764e-4
Otu99,0.007519924095918016
